Name,Age,Hometown,Occupation,Number of Roses,Final Position
Contestant_1,28,Los Angeles,Entrepreneur,13,5
Contestant_2,36,New York,Entrepreneur,7,5
Contestant_3,32,Houston,Athlete,9,2
Contestant_4,29,Miami,Athlete,11,5
Contestant_5,28,Miami,Designer,14,4
Contestant_6,32,Chicago,Teacher,4,1
Contestant_7,32,Los Angeles,Designer,13,3
Contestant_8,25,Denver,Nurse,2,1
Contestant_9,29,Los Angeles,Designer,5,5
Contestant_10,24,Seattle,Actor,11,4
Contestant_11,23,Boston,Actor,6,7
Contestant_12,33,New York,Nurse,18,5
Contestant_13,27,New York,Nurse,10,10
Contestant_14,23,Los Angeles,Chef,4,4
Contestant_15,22,Miami,Designer,9,2
Contestant_16,33,Miami,Actor,6,4
Contestant_17,33,Denver,Artist,2,2
Contestant_18,38,Seattle,Artist,17,8
Contestant_19,31,New York,Athlete,5,3
Contestant_20,37,Denver,Chef,6,9
Contestant_21,36,Miami,Artist,12,4
Contestant_22,36,Denver,Chef,10,6
Contestant_23,33,Boston,Doctor,6,10
Contestant_24,24,Miami,Actor,8,5
Contestant_25,26,San Francisco,Designer,2,10
Contestant_26,28,Seattle,Chef,12,1
Contestant_27,30,Houston,Chef,13,9
Contestant_28,28,New York,Teacher,7,1
Contestant_29,39,Chicago,Designer,10,8
Contestant_30,25,Boston,Doctor,13,9
Contestant_31,35,Atlanta,Teacher,17,9
Contestant_32,39,Houston,Nurse,14,1
Contestant_33,30,Chicago,Athlete,2,2
Contestant_34,23,Miami,Actor,11,1
Contestant_35,36,Atlanta,Engineer,1,10
Contestant_36,28,Los Angeles,Designer,19,2
Contestant_37,33,Los Angeles,Engineer,4,10
Contestant_38,29,Boston,Nurse,19,8
Contestant_39,36,Los Angeles,Designer,11,5
Contestant_40,24,Atlanta,Doctor,8,7
Contestant_41,35,Atlanta,Teacher,11,2
Contestant_42,38,Seattle,Chef,4,8
Contestant_43,25,Houston,Teacher,17,6
Contestant_44,39,New York,Engineer,7,8
Contestant_45,29,San Francisco,Designer,8,1
Contestant_46,25,Denver,Entrepreneur,3,1
Contestant_47,23,Los Angeles,Actor,2,7
Contestant_48,27,Boston,Athlete,15,8
Contestant_49,31,Los Angeles,Chef,5,3
Contestant_50,25,Denver,Engineer,1,5
Contestant_51,39,Houston,Actor,4,1
Contestant_52,33,Seattle,Nurse,15,7
Contestant_53,23,Atlanta,Chef,19,5
Contestant_54,31,Seattle,Actor,3,8
Contestant_55,25,Miami,Designer,11,8
Contestant_56,35,Los Angeles,Nurse,17,9
Contestant_57,37,New York,Doctor,13,7
Contestant_58,36,Miami,Athlete,11,1
Contestant_59,29,Houston,Engineer,2,3
Contestant_60,35,Los Angeles,Artist,9,8
Contestant_61,29,Miami,Entrepreneur,2,3
Contestant_62,37,Los Angeles,Artist,9,8
Contestant_63,34,Boston,Engineer,9,1
Contestant_64,39,Houston,Chef,8,5
Contestant_65,36,San Francisco,Engineer,17,4
Contestant_66,34,Atlanta,Engineer,1,5
Contestant_67,30,Chicago,Designer,11,8
Contestant_68,36,Atlanta,Teacher,8,10
Contestant_69,34,Atlanta,Entrepreneur,10,4
Contestant_70,22,Miami,Doctor,7,4
Contestant_71,28,Houston,Doctor,3,3
Contestant_72,30,Los Angeles,Actor,3,7
Contestant_73,22,Seattle,Doctor,18,3
Contestant_74,33,Chicago,Entrepreneur,5,3
Contestant_75,29,Denver,Actor,12,10
Contestant_76,32,Miami,Actor,12,5
Contestant_77,38,Chicago,Chef,19,5
Contestant_78,29,San Francisco,Teacher,6,6
Contestant_79,24,Boston,Artist,2,8
Contestant_80,24,Houston,Nurse,12,10
Contestant_81,22,Denver,Chef,19,6
Contestant_82,26,Miami,Athlete,5,1
Contestant_83,31,Atlanta,Teacher,12,8
Contestant_84,28,New York,Teacher,17,8
Contestant_85,30,Miami,Teacher,17,9
Contestant_86,28,New York,Engineer,10,9
Contestant_87,30,Atlanta,Athlete,17,2
Contestant_88,29,Boston,Chef,15,2
Contestant_89,33,Houston,Athlete,12,3
Contestant_90,23,Los Angeles,Artist,16,1
Contestant_91,22,Miami,Designer,19,4
Contestant_92,37,Seattle,Athlete,8,4
Contestant_93,26,Atlanta,Teacher,17,9
Contestant_94,24,Miami,Artist,5,9
Contestant_95,33,San Francisco,Designer,16,9
